start=970008ms stop=975339ms speaker_SPEAKER_03
start=975780ms stop=978225ms speaker_SPEAKER_03
start=978361ms stop=978514ms speaker_SPEAKER_03
start=978514ms stop=980959ms speaker_SPEAKER_04
start=978582ms stop=978599ms speaker_SPEAKER_03
start=981146ms stop=981536ms speaker_SPEAKER_04
start=982775ms stop=982809ms speaker_SPEAKER_14
start=982809ms stop=982843ms speaker_SPEAKER_03
start=982843ms stop=982996ms speaker_SPEAKER_04
start=982996ms stop=983166ms speaker_SPEAKER_14
start=983166ms stop=983998ms speaker_SPEAKER_04
start=983998ms stop=986969ms speaker_SPEAKER_14
start=987241ms stop=987495ms speaker_SPEAKER_14
start=987988ms stop=988361ms speaker_SPEAKER_14
start=988429ms stop=999957ms speaker_SPEAKER_14
start=1000212ms stop=1002419ms speaker_SPEAKER_03
start=1003013ms stop=1005645ms speaker_SPEAKER_03
start=1005730ms stop=1010976ms speaker_SPEAKER_04
start=1011281ms stop=1013030ms speaker_SPEAKER_04
start=1013234ms stop=1018005ms speaker_SPEAKER_03
start=1018005ms stop=1018480ms speaker_SPEAKER_14
start=1018752ms stop=1022334ms speaker_SPEAKER_14
start=1022538ms stop=1027920ms speaker_SPEAKER_10
start=1027920ms stop=1029838ms speaker_SPEAKER_05
start=1030568ms stop=1031706ms speaker_SPEAKER_05
start=1032096ms stop=1032843ms speaker_SPEAKER_04
start=1032843ms stop=1033590ms speaker_SPEAKER_05
start=1033743ms stop=1036561ms speaker_SPEAKER_04
start=1036561ms stop=1038123ms speaker_SPEAKER_05
start=1038344ms stop=1042996ms speaker_SPEAKER_04
start=1043166ms stop=1047971ms speaker_SPEAKER_04
start=1047835ms stop=1051213ms speaker_SPEAKER_05
start=1051383ms stop=1051638ms speaker_SPEAKER_04
start=1051825ms stop=1052249ms speaker_SPEAKER_04
start=1053132ms stop=1053573ms speaker_SPEAKER_04
start=1053811ms stop=1054235ms speaker_SPEAKER_05
start=1054541ms stop=1059719ms speaker_SPEAKER_04
start=1059974ms stop=1061044ms speaker_SPEAKER_05
start=1061332ms stop=1065135ms speaker_SPEAKER_04
start=1065780ms stop=1069023ms speaker_SPEAKER_05
start=1070110ms stop=1070670ms speaker_SPEAKER_05
start=1071112ms stop=1073319ms speaker_SPEAKER_05
start=1073726ms stop=1073743ms speaker_SPEAKER_12
start=1073743ms stop=1074219ms speaker_SPEAKER_11
start=1074219ms stop=1074235ms speaker_SPEAKER_12
start=1074388ms stop=1074405ms speaker_SPEAKER_12
start=1074405ms stop=1080382ms speaker_SPEAKER_03
start=1079567ms stop=1079617ms speaker_SPEAKER_04
start=1079617ms stop=1079906ms speaker_SPEAKER_06
start=1079906ms stop=1079957ms speaker_SPEAKER_11
start=1079957ms stop=1080076ms speaker_SPEAKER_06
start=1080076ms stop=1080229ms speaker_SPEAKER_05
start=1081112ms stop=1084303ms speaker_SPEAKER_05
start=1083183ms stop=1083726ms speaker_SPEAKER_06
start=1083726ms stop=1083777ms speaker_SPEAKER_03
start=1085407ms stop=1090857ms speaker_SPEAKER_04
start=1091095ms stop=1093013ms speaker_SPEAKER_04
start=1093013ms stop=1093285ms speaker_SPEAKER_10
start=1093285ms stop=1093353ms speaker_SPEAKER_04
start=1093607ms stop=1095713ms speaker_SPEAKER_04
start=1093641ms stop=1094100ms speaker_SPEAKER_10
start=1095882ms stop=1096001ms speaker_SPEAKER_04
start=1096001ms stop=1096103ms speaker_SPEAKER_10
start=1096103ms stop=1096120ms speaker_SPEAKER_04
start=1096120ms stop=1096137ms speaker_SPEAKER_10
start=1096578ms stop=1097088ms speaker_SPEAKER_14
start=1097088ms stop=1097122ms speaker_SPEAKER_04
start=1097122ms stop=1097648ms speaker_SPEAKER_14
start=1097648ms stop=1097665ms speaker_SPEAKER_04
start=1097903ms stop=1107105ms speaker_SPEAKER_14
start=1107427ms stop=1111689ms speaker_SPEAKER_14
start=1111994ms stop=1114949ms speaker_SPEAKER_14
start=1115288ms stop=1115797ms speaker_SPEAKER_14
start=1116833ms stop=1121332ms speaker_SPEAKER_10
start=1121706ms stop=1131791ms speaker_SPEAKER_10
