start=826646ms stop=838480ms speaker_SPEAKER_01
start=838480ms stop=838921ms speaker_SPEAKER_06
start=838921ms stop=838938ms speaker_SPEAKER_01
start=839176ms stop=855305ms speaker_SPEAKER_01
start=855611ms stop=861281ms speaker_SPEAKER_01
start=861434ms stop=863098ms speaker_SPEAKER_01
start=863353ms stop=868412ms speaker_SPEAKER_01
start=869567ms stop=870229ms speaker_SPEAKER_01
start=870229ms stop=889516ms speaker_SPEAKER_00
start=889516ms stop=889821ms speaker_SPEAKER_06
start=889753ms stop=902996ms speaker_SPEAKER_00
start=902996ms stop=919872ms speaker_SPEAKER_01
start=920178ms stop=922945ms speaker_SPEAKER_01
start=923251ms stop=925543ms speaker_SPEAKER_01
start=925679ms stop=928005ms speaker_SPEAKER_01
start=928005ms stop=929023ms speaker_SPEAKER_00
start=929023ms stop=929040ms speaker_SPEAKER_01
start=931095ms stop=935645ms speaker_SPEAKER_00
start=935865ms stop=940025ms speaker_SPEAKER_00
start=941281ms stop=962843ms speaker_SPEAKER_01
start=941536ms stop=942062ms speaker_SPEAKER_00
start=945390ms stop=945594ms speaker_SPEAKER_00
start=953353ms stop=953811ms speaker_SPEAKER_06
start=962843ms stop=963421ms speaker_SPEAKER_06
start=962894ms stop=962928ms speaker_SPEAKER_01
start=962996ms stop=968089ms speaker_SPEAKER_01
start=968140ms stop=983285ms speaker_SPEAKER_01
start=983455ms stop=995101ms speaker_SPEAKER_01
start=995203ms stop=1007003ms speaker_SPEAKER_01
start=995356ms stop=995373ms speaker_SPEAKER_00
start=995373ms stop=995696ms speaker_SPEAKER_06
start=1007003ms stop=1050687ms speaker_SPEAKER_00
start=1024558ms stop=1025000ms speaker_SPEAKER_01
start=1043064ms stop=1043421ms speaker_SPEAKER_06
start=1051010ms stop=1062572ms speaker_SPEAKER_01
start=1062809ms stop=1086222ms speaker_SPEAKER_01
start=1084015ms stop=1119668ms speaker_SPEAKER_00
start=1106392ms stop=1106765ms speaker_SPEAKER_06
start=1119872ms stop=1140840ms speaker_SPEAKER_01
start=1140840ms stop=1141061ms speaker_SPEAKER_06
start=1141061ms stop=1155186ms speaker_SPEAKER_01
start=1141095ms stop=1141502ms speaker_SPEAKER_06
start=1156018ms stop=1156731ms speaker_SPEAKER_01
start=1157037ms stop=1202979ms speaker_SPEAKER_01
start=1191298ms stop=1191349ms speaker_SPEAKER_00
start=1191349ms stop=1191740ms speaker_SPEAKER_06
start=1203336ms stop=1204185ms speaker_SPEAKER_00
start=1204422ms stop=1238972ms speaker_SPEAKER_00
start=1204507ms stop=1205169ms speaker_SPEAKER_01
start=1228463ms stop=1228887ms speaker_SPEAKER_01
start=1228887ms stop=1228904ms speaker_SPEAKER_06
start=1228904ms stop=1228921ms speaker_SPEAKER_01
start=1234303ms stop=1237410ms speaker_SPEAKER_01
start=1239312ms stop=1247156ms speaker_SPEAKER_01
start=1247292ms stop=1249617ms speaker_SPEAKER_01
start=1249889ms stop=1250483ms speaker_SPEAKER_01
start=1250738ms stop=1275000ms speaker_SPEAKER_01
start=1275000ms stop=1283285ms speaker_SPEAKER_00
start=1280415ms stop=1281417ms speaker_SPEAKER_01
start=1284202ms stop=1299346ms speaker_SPEAKER_00
start=1298157ms stop=1299227ms speaker_SPEAKER_01
start=1299346ms stop=1299482ms speaker_SPEAKER_01
start=1299482ms stop=1299584ms speaker_SPEAKER_00
start=1299584ms stop=1299617ms speaker_SPEAKER_01
start=1299889ms stop=1302843ms speaker_SPEAKER_01
start=1303217ms stop=1310229ms speaker_SPEAKER_00
start=1310280ms stop=1315000ms speaker_SPEAKER_00
start=1311808ms stop=1312843ms speaker_SPEAKER_01
start=1315000ms stop=1323115ms speaker_SPEAKER_01
start=1316867ms stop=1317308ms speaker_SPEAKER_00
start=1323488ms stop=1323896ms speaker_SPEAKER_00
start=1323896ms stop=1323981ms speaker_SPEAKER_01
start=1323981ms stop=1323998ms speaker_SPEAKER_00
start=1323998ms stop=1324117ms speaker_SPEAKER_01
start=1324117ms stop=1324134ms speaker_SPEAKER_00
start=1324134ms stop=1325594ms speaker_SPEAKER_01
start=1325645ms stop=1325696ms speaker_SPEAKER_01
start=1325696ms stop=1342996ms speaker_SPEAKER_00
start=1325730ms stop=1327258ms speaker_SPEAKER_01
start=1333268ms stop=1334286ms speaker_SPEAKER_01
start=1340263ms stop=1340551ms speaker_SPEAKER_01
start=1342996ms stop=1343302ms speaker_SPEAKER_01
start=1343505ms stop=1344779ms speaker_SPEAKER_01
start=1345000ms stop=1365458ms speaker_SPEAKER_01
start=1365611ms stop=1369363ms speaker_SPEAKER_01
start=1368972ms stop=1371230ms speaker_SPEAKER_00
