start=1685067ms stop=1686494ms speaker_SPEAKER_02
start=1686578ms stop=1688039ms speaker_SPEAKER_05
start=1687665ms stop=1688548ms speaker_SPEAKER_02
start=1688361ms stop=1692283ms speaker_SPEAKER_05
start=1692623ms stop=1694100ms speaker_SPEAKER_02
start=1694932ms stop=1695882ms speaker_SPEAKER_02
start=1696612ms stop=1697835ms speaker_SPEAKER_02
start=1698276ms stop=1698293ms speaker_SPEAKER_02
start=1698293ms stop=1698955ms speaker_SPEAKER_05
start=1698955ms stop=1703760ms speaker_SPEAKER_02
start=1705203ms stop=1705747ms speaker_SPEAKER_02
start=1705271ms stop=1705814ms speaker_SPEAKER_05
start=1706001ms stop=1706018ms speaker_SPEAKER_05
start=1706035ms stop=1708870ms speaker_SPEAKER_05
start=1709091ms stop=1710483ms speaker_SPEAKER_02
start=1710483ms stop=1711146ms speaker_SPEAKER_05
start=1711298ms stop=1712419ms speaker_SPEAKER_05
start=1714049ms stop=1715441ms speaker_SPEAKER_05
start=1715560ms stop=1725305ms speaker_SPEAKER_05
start=1725696ms stop=1729736ms speaker_SPEAKER_05
start=1730127ms stop=1731146ms speaker_SPEAKER_05
start=1731434ms stop=1731994ms speaker_SPEAKER_05
start=1732402ms stop=1748446ms speaker_SPEAKER_05
start=1748650ms stop=1752640ms speaker_SPEAKER_05
start=1752945ms stop=1754847ms speaker_SPEAKER_05
start=1755169ms stop=1757071ms speaker_SPEAKER_05
start=1757173ms stop=1786018ms speaker_SPEAKER_05
start=1786375ms stop=1787105ms speaker_SPEAKER_05
start=1787410ms stop=1790331ms speaker_SPEAKER_05
start=1790738ms stop=1791723ms speaker_SPEAKER_05
start=1791960ms stop=1805662ms speaker_SPEAKER_05
start=1805814ms stop=1809685ms speaker_SPEAKER_05
start=1810161ms stop=1819838ms speaker_SPEAKER_05
start=1820008ms stop=1822283ms speaker_SPEAKER_05
start=1822521ms stop=1827376ms speaker_SPEAKER_05
start=1827665ms stop=1829533ms speaker_SPEAKER_05
start=1829872ms stop=1830942ms speaker_SPEAKER_05
start=1831112ms stop=1832775ms speaker_SPEAKER_05
start=1833081ms stop=1841842ms speaker_SPEAKER_05
start=1842113ms stop=1842826ms speaker_SPEAKER_05
start=1843183ms stop=1844202ms speaker_SPEAKER_02
start=1844032ms stop=1847750ms speaker_SPEAKER_05
start=1847937ms stop=1856765ms speaker_SPEAKER_05
start=1857122ms stop=1859821ms speaker_SPEAKER_05
start=1860127ms stop=1860721ms speaker_SPEAKER_05
start=1861095ms stop=1863675ms speaker_SPEAKER_05
start=1863998ms stop=1866799ms speaker_SPEAKER_05
start=1867224ms stop=1869601ms speaker_SPEAKER_05
start=1870008ms stop=1872623ms speaker_SPEAKER_05
start=1873013ms stop=1879872ms speaker_SPEAKER_05
start=1878837ms stop=1879516ms speaker_SPEAKER_02
start=1880331ms stop=1882487ms speaker_SPEAKER_02
start=1883692ms stop=1884439ms speaker_SPEAKER_05
start=1883998ms stop=1896018ms speaker_SPEAKER_02
start=1896986ms stop=1899397ms speaker_SPEAKER_05
start=1898327ms stop=1926731ms speaker_SPEAKER_02
start=1927020ms stop=1929091ms speaker_SPEAKER_05
start=1929346ms stop=1931926ms speaker_SPEAKER_02
start=1930314ms stop=1931910ms speaker_SPEAKER_05
start=1931926ms stop=1932113ms speaker_SPEAKER_05
start=1932113ms stop=1932674ms speaker_SPEAKER_02
start=1932674ms stop=1932979ms speaker_SPEAKER_05
start=1932979ms stop=1932996ms speaker_SPEAKER_02
start=1933285ms stop=1939617ms speaker_SPEAKER_02
start=1939804ms stop=1944320ms speaker_SPEAKER_02
start=1944830ms stop=1948106ms speaker_SPEAKER_02
start=1948106ms stop=1948684ms speaker_SPEAKER_07
start=1948752ms stop=1957920ms speaker_SPEAKER_02
start=1957784ms stop=1959023ms speaker_SPEAKER_05
start=1959261ms stop=1964694ms speaker_SPEAKER_02
start=1964949ms stop=1965458ms speaker_SPEAKER_05
start=1965662ms stop=1966544ms speaker_SPEAKER_02
start=1967529ms stop=1983641ms speaker_SPEAKER_02
start=1983658ms stop=1986001ms speaker_SPEAKER_05
start=1986358ms stop=1986765ms speaker_SPEAKER_05
start=1987105ms stop=1990823ms speaker_SPEAKER_05
start=1991146ms stop=2004592ms speaker_SPEAKER_02
start=1992487ms stop=1992860ms speaker_SPEAKER_05
start=2004898ms stop=2010076ms speaker_SPEAKER_02
start=2007682ms stop=2007988ms speaker_SPEAKER_05
start=2007988ms stop=2008056ms speaker_SPEAKER_00
start=2010144ms stop=2014388ms speaker_SPEAKER_02
start=2014049ms stop=2017105ms speaker_SPEAKER_05
start=2016629ms stop=2017071ms speaker_SPEAKER_02
start=2017105ms stop=2017258ms speaker_SPEAKER_02
start=2017258ms stop=2017308ms speaker_SPEAKER_05
start=2017308ms stop=2017393ms speaker_SPEAKER_02
start=2017699ms stop=2019227ms speaker_SPEAKER_02
start=2019533ms stop=2021943ms speaker_SPEAKER_02
start=2022147ms stop=2022623ms speaker_SPEAKER_02
start=2022979ms stop=2036986ms speaker_SPEAKER_02
start=2037275ms stop=2037801ms speaker_SPEAKER_05
start=2038089ms stop=2038327ms speaker_SPEAKER_02
start=2038327ms stop=2047665ms speaker_SPEAKER_05
start=2038378ms stop=2038395ms speaker_SPEAKER_02
start=2038786ms stop=2038921ms speaker_SPEAKER_02
start=2047682ms stop=2049804ms speaker_SPEAKER_05
start=2050144ms stop=2051061ms speaker_SPEAKER_02
start=2051383ms stop=2053743ms speaker_SPEAKER_02
start=2055067ms stop=2056646ms speaker_SPEAKER_02
start=2056986ms stop=2057410ms speaker_SPEAKER_05
